sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO44009,BK-R93R-56,27759,2011-02-17,2011-02-24,2011-03-01,3578.00,1,3578.00
SO44010,BK-R93R-62,13680,2011-02-17,2011-02-24,2011-03-01,3578.00,1,3578.00
SO44011,BK-R93R-62,13514,2011-02-17,2011-02-24,2011-03-01,3578.00,1,3578.00
SO44012,BK-M82B-42,11052,2011-02-17,2011-02-24,2011-03-01,3375.00,1,3375.00
SO44013,BK-R93R-48,16928,2011-02-17,2011-02-24,2011-03-01,3578.00,1,3578.00
SO44014,BK-R93R-52,27917,2011-02-18,2011-02-25,2011-03-02,3578.00,1,3578.00
SO44015,BK-R93R-44,13693,2011-02-18,2011-02-25,2011-03-02,3578.00,1,3578.00
SO44016,BK-M82B-44,11247,2011-02-18,2011-02-25,2011-03-02,3375.00,1,3375.00
SO44017,BK-R93R-62,28078,2011-02-18,2011-02-25,2011-03-02,3578.00,1,3578.00
SO44018,BK-M82B-44,25876,2011-02-18,2011-02-25,2011-03-02,3375.00,1,3375.00
SO44019,BK-R93R-62,16701,2011-02-18,2011-02-25,2011-03-02,3578.00,1,3578.00
SO44020,BK-R93R-44,16931,2011-02-18,2011-02-25,2011-03-02,3578.00,1,3578.00
SO44021,BK-M82B-38,11032,2011-02-18,2011-02-25,2011-03-02,3375.00,1,3375.00
SO44022,BK-R93R-52,22008,2011-02-19,2011-02-26,2011-03-03,3578.00,1,3578.00
SO44023,BK-M82B-42,19830,2011-02-19,2011-02-26,2011-03-03,3375.00,1,3375.00
SO44024,BK-R93R-56,16663,2011-02-19,2011-02-26,2011-03-03,3578.00,1,3578.00
SO44025,BK-R93R-56,16708,2011-02-19,2011-02-26,2011-03-03,3578.00,1,3578.00
SO44026,BK-R93R-62,17045,2011-02-19,2011-02-26,2011-03-03,3578.00,1,3578.00
SO44027,BK-R93R-62,21921,2011-02-20,2011-02-27,2011-03-04,3578.00,1,3578.00
SO44028,BK-R93R-48,17048,2011-02-20,2011-02-27,2011-03-04,3578.00,1,3578.00
SO44029,BK-M82B-44,11050,2011-02-20,2011-02-27,2011-03-04,3375.00,1,3375.00
SO44030,BK-R93R-44,12131,2011-02-21,2011-02-28,2011-03-05,3578.00,1,3578.00
SO44031,BK-R93R-52,13689,2011-02-21,2011-02-28,2011-03-05,3578.00,1,3578.00
SO44032,BK-M82S-38,11243,2011-02-21,2011-02-28,2011-03-05,3400.00,1,3400.00
SO44033,BK-R93R-56,16693,2011-02-21,2011-02-28,2011-03-05,3578.00,1,3578.00
SO44034,BK-R93R-52,16702,2011-02-21,2011-02-28,2011-03-05,3578.00,1,3578.00
SO44035,BK-R93R-48,16707,2011-02-21,2011-02-28,2011-03-05,3578.00,1,3578.00
SO44036,BK-R93R-62,17046,2011-02-21,2011-02-28,2011-03-05,3578.00,1,3578.00
SO44037,BK-R50R-48,25272,2011-02-21,2011-02-28,2011-03-05,699.00,1,699.00
SO44038,BK-M82S-38,25868,2011-02-21,2011-02-28,2011-03-05,3400.00,1,3400.00
SO44039,BK-R50B-52,17971,2011-02-22,2011-03-01,2011-03-06,699.00,1,699.00
SO44040,BK-M82B-48,11057,2011-02-22,2011-03-01,2011-03-06,3375.00,1,3375.00
SO44041,BK-R93R-52,16742,2011-02-22,2011-03-01,2011-03-06,3578.00,1,3578.00
SO44042,BK-R93R-52,13678,2011-02-23,2011-03-02,2011-03-07,3578.00,1,3578.00
SO44043,BK-R93R-44,13679,2011-02-23,2011-03-02,2011-03-07,3578.00,1,3578.00
SO44044,BK-R93R-56,13690,2011-02-23,2011-03-02,2011-03-07,3578.00,1,3578.00
SO44045,BK-M82S-38,28394,2011-02-23,2011-03-02,2011-03-07,3400.00,1,3400.00
SO44046,BK-R93R-52,28064,2011-02-23,2011-03-02,2011-03-07,3578.00,1,3578.00
SO44047,BK-M82S-38,25878,2011-02-23,2011-03-02,2011-03-07,3400.00,1,3400.00
SO44048,BK-R93R-56,16713,2011-02-23,2011-03-02,2011-03-07,3578.00,1,3578.00
SO44049,BK-R93R-56,13538,2011-02-24,2011-03-03,2011-03-08,3578.00,1,3578.00
